板块,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
创业板,厦门乾照光电股份有限公司,"Xiamen Changelight Co.,LTD.",福建省厦门火炬高新区（翔安）产业区翔天路259-269号,300102,乾照光电,2010-08-12,"903,579,111","901,051,261",,,,0,0,华东,福建,厦门市,C 制造业,www.changelight.com.cn
创业板,达刚控股集团股份有限公司,"DAGANG HOLDING GROUP CO.,LTD.",陕西省西安市高新区毕原三路10号,300103,达刚控股,2010-08-12,"317,601,000","245,446,447",,,,0,0,西北,陕西,西安市,N 公共环保,www.sxdagang.com
创业板,烟台龙源电力技术股份有限公司,"YANTAI LONGYUAN POWER TECHNOLOGY CO., LTD.",中国(山东)自由贸易试验区烟台片区烟台开发区白云山路2号,300105,龙源技术,2010-08-20,"518,980,440","513,213,525",,,,0,0,华东,山东,烟台市,C 制造业,lyjs.chnenergy.com.cn
创业板,新疆西部牧业股份有限公司,"Xinjiang Western Animal Husbandry Co.,Ltd",新疆维吾尔自治区石河子市开发区北三东路29-2号,300106,西部牧业,2010-08-20,"211,332,310","211,332,310",,,,0,0,西北,新疆,石河子市,A 农林牧渔,www.xjxbmy.com
创业板,河北建新化工股份有限公司,"Hebei Jianxin Chemical Co., Ltd.",河北省沧州临港化工园区（中捷农场）,300107,建新股份,2010-08-20,"551,731,068","337,509,582",,,,0,0,华北,河北,沧州市,C 制造业,www.jianxinchemical.com
创业板,吉药控股集团股份有限公司,"Ji Yao Holding Group Co., Ltd.",吉林省梅河口市环城北路6号,300108,*ST吉药,2010-08-25,"666,014,674","656,559,424",,,,0,0,东北,吉林,通化市,C 制造业,www.jiyaogroup.com
创业板,博爱新开源医疗科技集团股份有限公司,NKY Medical Holdings Ltd.,河南省焦作市博爱县文化路（东段）1888号,300109,新开源,2010-08-25,"323,905,337","281,503,529",,,,0,0,华中,河南,焦作市,C 制造业,www.nkygroup.cn、www.boai-nky.com
创业板,华仁药业股份有限公司,"Huaren Pharmaceutical Co.,Ltd.",山东省青岛市高科技工业园株洲路187号,300110,华仁药业,2010-08-25,"1,182,212,982","1,180,448,607",,,,0,0,华东,山东,青岛市,C 制造业,www.qdhuaren.com
创业板,浙江向日葵大健康科技股份有限公司,Zhejiang Sunflower Great Health Limited Liability Company,浙江省绍兴袍江工业区三江路,300111,向日葵,2010-08-27,"1,119,800,000","1,119,800,000",,,,0,0,华东,浙江,绍兴市,C 制造业,www.sunowe.com
创业板,深圳万讯自控股份有限公司,"Shenzhen Maxonic Automation Control Co.,Ltd",广东省深圳市南山区高新技术产业园北区三号路万讯自控大楼1-6层,300112,万讯自控,2010-08-27,"285,801,842","235,349,471",,,,0,0,华南,广东,深圳市,C 制造业,www.maxonic.com.cn
创业板,杭州顺网科技股份有限公司,"Hangzhou Shunwang Technology Co.,Ltd.",浙江省杭州市西湖区文一西路75号3号楼,300113,顺网科技,2010-08-27,"694,287,240","694,010,734",,,,0,0,华东,浙江,杭州市,I 信息技术,www.300113.com
创业板,中航电测仪器股份有限公司,"Zhonghang Electronic Measuring Instruments Co.,Ltd",陕西省汉中市经济开发区北区鑫源路,300114,中航电测,2010-08-27,"590,760,499","590,677,999",,,,0,0,西北,陕西,汉中市,C 制造业,www.zemic.com.cn
创业板,深圳市长盈精密技术股份有限公司,"Shenzhen Everwin Precision Technology Co.,Ltd",广东省深圳市宝安区福永镇桥头富桥工业三区3号厂,300115,长盈精密,2010-09-02,"1,201,027,716","1,196,540,244",,,,0,0,华南,广东,深圳市,C 制造业,www.ewpt.com
创业板,保力新能源科技股份有限公司,"Blivex Energy Technology Co., Ltd",陕西省西安市高新区科技二路65号6幢10701房,300116,保力新,2010-09-02,"4,425,591,367","4,103,847,637",,,,0,0,西北,陕西,西安市,C 制造业,www.blivex.com
创业板,嘉寓控股股份公司,"Jiayu Holding Co.,Ltd.",北京市顺义区牛栏山镇牛富路1号,300117,嘉寓股份,2010-09-02,"716,760,000","716,760,000",,,,0,0,华北,北京,北京市,E 建筑业,www.jayugroup.com
创业板,东方日升新能源股份有限公司,"RISEN ENERNY CO.,LTD.",浙江省宁波市宁海县梅林街道塔山工业园区,300118,东方日升,2010-09-02,"1,140,013,863","692,600,460",,,,0,0,华东,浙江,宁波市,C 制造业,www.risenenergy.com
创业板,天津瑞普生物技术股份有限公司,"Tianjin Ringpu Bio-Technology Co.,Ltd.",天津自贸试验区（空港经济区）东九道1号,300119,瑞普生物,2010-09-17,"468,018,786","323,144,432",,,,0,0,华北,天津,天津市,C 制造业,www.ringpu.com
创业板,天津经纬辉开光电股份有限公司,"Tianjin Jingwei Huikai Optoelectronic CO.,Ltd.",天津市津南经济开发区（双港）旺港路12号,300120,经纬辉开,2010-09-17,"464,393,929","403,899,094",,,,0,0,华北,天津,天津市,C 制造业,www.jwdc.cn
创业板,山东阳谷华泰化工股份有限公司,"Shandong Yanggu Huatai Chemical Co., Ltd.",山东省阳谷县清河西路399号,300121,阳谷华泰,2010-09-17,"404,770,870","366,218,444",,,,0,0,华东,山东,聊城市,C 制造业,www.yghuatai.com
创业板,重庆智飞生物制品股份有限公司,"Chongqing Zhifei Biological Products Co.,Ltd.",重庆市江北区金源路7号25-1至25-8,300122,智飞生物,2010-09-28,"1,600,000,000","947,012,275",,,,0,0,西南,重庆,重庆市,C 制造业,www.zhifeishengwu.com
创业板,亚光科技集团股份有限公司,YaGuang Technology Group Company Limited,湖南省沅江市游艇工业园,300123,亚光科技,2010-09-28,"1,007,559,123","987,605,043",,,,0,0,华中,湖南,益阳市,C 制造业,www.ygkjgroup.com
创业板,深圳市汇川技术股份有限公司,"Shenzhen Inovance Technology Co., Ltd",广东省深圳市龙华新区观澜街道高新技术产业园汇川技术总部大厦,300124,汇川技术,2010-09-28,"2,660,334,876","2,312,187,392",,,,0,0,华南,广东,深圳市,C 制造业,www.inovance.com
创业板,聆达集团股份有限公司,"Lingda Group Co.,Ltd.",辽宁省大连高新技术产业园区火炬路32B号第9层902、903间,300125,聆达股份,2010-10-13,"265,499,995","262,826,542",,,,0,0,东北,辽宁,大连市,C 制造业,www.lingdagroup.com.cn
创业板,锐奇控股股份有限公司,"KEN HOLDING CO.,LTD.",上海市松江区新桥镇新茸路5号,300126,锐奇股份,2010-10-13,"303,957,600","210,590,204",,,,0,0,华东,上海,上海市,C 制造业,www.ken-tools.com
创业板,成都银河磁体股份有限公司,"Chengdu Galaxy Magnets Co.,Ltd.",四川省成都市高新技术开发区西区百草路6号,300127,银河磁体,2010-10-13,"323,146,360","230,816,140",,,,0,0,西南,四川,成都市,C 制造业,www.galaxymagnets.com
创业板,苏州锦富技术股份有限公司,"Suzhou Jinfu Technology Co., Ltd.",江苏省苏州工业园区江浦路39号,300128,锦富技术,2010-10-13,"1,094,115,412","1,093,858,762",,,,0,0,华东,江苏,苏州市,C 制造业,www.jin-fu.cn
创业板,上海泰胜风能装备股份有限公司,"Shanghai Taisheng Wind Power Equipment Co., Ltd.",上海市金山区卫清东路1988号,300129,泰胜风能,2010-10-19,"934,899,232","648,768,177",,,,0,0,华东,上海,上海市,C 制造业,www.shtsp.com
创业板,深圳市新国都股份有限公司,XGD INC.,广东省深圳市福田区深南路车公庙工业区泰然劲松大厦17A,300130,新国都,2010-10-19,"506,561,257","372,601,797",,,,0,0,华南,广东,深圳市,C 制造业,www.xgd.com
创业板,深圳市英唐智能控制股份有限公司,"ShenZhen Yitoa Intelligent Control Co.,Ltd.",广东省深圳市宝安区新安街道海旺社区宝兴路6号海纳百川总部大厦B座6层、7层、8层,300131,英唐智控,2010-10-19,"1,137,597,085","1,028,388,691",,,,0,0,华南,广东,深圳市,F 批发零售,www.yitoa.com
创业板,福建青松股份有限公司,"Fujian Green Pine Co.,LTD",福建省建阳市回瑶工业园区,300132,青松股份,2010-10-26,"516,580,886","492,024,055",,,,0,0,华东,福建,南平市,C 制造业,www.greenpine.cc
创业板,浙江华策影视股份有限公司,"Zhejiang Huace Film & TV Co.,Ltd.",浙江省杭州市西湖区华策中心1号楼401室,300133,华策影视,2010-10-26,"1,901,073,701","1,628,272,001",,,,0,0,华东,浙江,杭州市,R 文化传播,www.huacemedia.com
创业板,大富科技（安徽）股份有限公司,"Anhui Tatfook Technology Co.,Ltd",安徽省蚌埠市燕南路17号国家金融孵化产业园4号楼,300134,大富科技,2010-10-26,"767,498,006","712,418,006",,,,0,0,华东,安徽,蚌埠市,C 制造业,www.tatfook.com
创业板,江苏宝利国际投资股份有限公司,"Jiangsu Baoli International Investment Co., Ltd.",江苏省江阴市云亭镇工业园区,300135,宝利国际,2010-10-26,"921,600,000","709,769,304",,,,0,0,华东,江苏,无锡市,C 制造业,www.baoligroups.com
创业板,深圳市信维通信股份有限公司,"Shenzhen Sunway Communication Co., Ltd.",广东省深圳市宝安区沙井街道西环路1013号A.B栋,300136,信维通信,2010-11-05,"967,568,638","824,567,926",,,,0,0,华南,广东,深圳市,C 制造业,www.sz-sunway.com.cn
创业板,河北先河环保科技股份有限公司,"Hebei Sailhero Environmental Protection High-tech Co., ltd.",河北省石家庄市高新区湘江道251号,300137,先河环保,2010-11-05,"545,374,010","485,840,669",,,,0,0,华北,河北,石家庄市,C 制造业,www.sailhero.com.cn
创业板,晨光生物科技集团股份有限公司,"CHENGUANG BIOTECH GROUP CO.,LTD.",河北省邯郸市曲周县城晨光路1号,300138,晨光生物,2010-11-05,"532,773,991","431,940,164",,,,0,0,华北,河北,邯郸市,C 制造业,www.cn-cg.com
