A股代码,B股代码,证券简称,扩位证券简称,公司英文全称,上市日期
600132,-,重庆啤酒,重庆啤酒,CHONGQING BREWERY COMPANY LIMITED,19971030
600133,-,东湖高新,东湖高新,"Wuhan East Lake High Technology Group Co.,Ltd.",19980212
600135,-,乐凯胶片,乐凯胶片,Lucky Film Company Limited,19980122
600136,-,ST明诚,ST明诚,"Wuhan Ddmc Culture & Sports Co.,Ltd.",19980303
600137,-,浪莎股份,浪莎股份,Sichuan Langsha Holding Ltd.,19980416
600138,-,中青旅,中青旅,"China CYTS Tours Holding Co.,Ltd.",19971203
600139,-,*ST西源,*ST西源,"Sichuan Western Resources Holding Co., Ltd",19980225
600141,-,兴发集团,兴发集团,"Hubei Xingfa Chemicals Group Co.,Ltd",19990616
600143,-,金发科技,金发科技,"Kingfa Sci.&Tech. Co.,Ltd.",20040623
600148,-,长春一东,长春一东,"Changchun Yidong Clutch Co.,Ltd",19980520
600149,-,廊坊发展,廊坊发展,"Langfang Development Co.,Ltd.",19991014
600150,-,中国船舶,中国船舶,China CSSC Holdings Limited,19980520
600151,-,航天机电,航天机电,"Shanghai Aerospace Automobile Electromechanical Co.,Ltd.",19980605
600152,-,维科技术,维科技术,"Veken Technology.,Ltd.",19980609
600153,-,建发股份,建发股份,Xiamen C&D Inc.,19980616
600155,-,华创阳安,华创阳安,"Polaris Bay Group Co.,Ltd.",19980918
600156,-,华升股份,华升股份,"Hunan Huasheng Co.,Ltd",19980527
600157,-,永泰能源,永泰能源,"Wintime Energy Co.,Ltd.",19980513
600158,-,中体产业,中体产业,"China Sports Industry Group Co.,Ltd",19980327
600159,-,大龙地产,大龙地产,"Beijing Dalong Weiye Real Estate Development Co.,Ltd",19980526
600160,-,巨化股份,巨化股份,"Zhejiang Juhua Co.,Ltd",19980626
600161,-,天坛生物,天坛生物,Beijing Tiantan Biological Products Corporation Limited,19980616
600162,-,香江控股,香江控股,"Shenzhen Heungkong Holding Co.,Ltd",19980609
600163,-,中闽能源,中闽能源,"Zhongmin Energy Co., Ltd.",19980602
600165,-,宁科生物,宁科生物,"NINGXIA ZHONGKE BIOTECHNOLOGY CO., LTD",19980529
600166,-,福田汽车,福田汽车,"Beiqi Foton Motor Co.,Ltd.",19980602
600167,-,联美控股,联美控股,"Luenmei Quantum Co.,Ltd",19990128
600168,-,武汉控股,武汉控股,"Wuhan Sanzhen Industry Holding Co.,Ltd",19980427
600169,-,太原重工,太原重工,"Taiyuan Heavy Industry Co.,Ltd.",19980904
600170,-,上海建工,上海建工,"Shanghai Construction Group Co., Ltd.",19980623
600171,-,上海贝岭,上海贝岭,"Shanghai Belling Corp.,Ltd",19980924
600172,-,黄河旋风,黄河旋风,"Henan Huanghe Whirlwind Co., Ltd",19981126
600173,-,卧龙地产,卧龙地产,"Wolong Real Estate Group Co.,Ltd.",19990415
600176,-,中国巨石,中国巨石,"China Jushi Co.,Ltd",19990422
600177,-,雅戈尔,雅戈尔,"Youngor Group Co.,Ltd.",19981119
600178,-,东安动力,东安动力,"Harbin Dongan Auto Engine Co.,Ltd",19981014
600179,-,安通控股,安通控股,"Antong Holdings Co., Ltd.",19981104
600180,-,瑞茂通,瑞茂通,"CCS Supply Chain Management Co., Ltd.",19980703
600182,-,S*ST佳通,S*ST佳通,Giti Tire Corporation,19990507
600183,-,生益科技,生益科技,"Shengyi Technology Co.,Ltd.",19981028
600184,-,光电股份,光电股份,"North Electro-Optic Co.,Ltd.",20031106
600185,-,格力地产,格力地产,"Gree Real Estate Co.,Ltd",19990611
600186,-,莲花健康,莲花健康,Lotus Health Group Company,19980825
600187,-,国中水务,国中水务,"Heilongjiang Interchina Water Treatment Co.,Ltd",19981111
600188,-,兖矿能源,兖矿能源,YANKUANG ENERGY GROUP COMPANY LIMITED,19980701
600189,-,泉阳泉,泉阳泉,"Jilin Quanyangquan Co.,Ltd",19981007
600190,900952,锦州港,锦州港,"Jinzhou Port Co., Ltd.",19990609
600191,-,华资实业,华资实业,"Baotou Huazi Industry Co.,Ltd",19981210
600192,-,长城电工,长城电工,Lanzhou Greatwall Electrical Co.Ltd,19981224
600193,-,创兴资源,创兴资源,"Shanghai Prosolar Resources Development Co.,Ltd",19990527
600195,-,中牧股份,中牧股份,"China Animal Husbandry Industry Co.,Ltd.",19990107
600196,-,复星医药,复星医药,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",19980807
600197,-,伊力特,伊力特,"Xinjiang Yilite Industry Co.,Ltd",19990916
600198,-,大唐电信,大唐电信,"Datang Telecom Technology Co., Ltd",19981021
600199,-,金种子酒,金种子酒,"Anhui Golden Seed Winery Co.,Ltd.",19980812
600200,-,江苏吴中,江苏吴中,"JiangSu WuZhong Pharmaceutical Development Co., Ltd.",19990401
600201,-,生物股份,生物股份,"Jinyu Bio-Technology Co.,Ltd.",19990115
600202,-,哈空调,哈空调,"Harbin Air Conditioning Co.,Ltd.",19990603
600203,-,福日电子,福日电子,"Fujian Furi Electronics Co., Ltd",19990514
600206,-,有研新材,有研新材,"Grinm Advanced Materials Co.,Ltd.",19990319
600207,-,安彩高科,安彩高科,"Henan Ancai Hi-Tech Co.,Ltd",19990714
600208,-,新湖中宝,新湖中宝,"Xinhu Zhongbao Co.,Ltd.",19990623
600210,-,紫江企业,紫江企业,"Shanghai Zijiang Enterprise Group Co.,Ltd",19990824
600211,-,西藏药业,西藏药业,Tibet Rhodiola Pharmaceutical Holding Co.,19990721
600212,-,绿能慧充,绿能慧充,"GRESGYING DIGITAL ENERGY TECHNOLOGY CO.,LTD",19990817
600213,-,亚星客车,亚星客车,"Yangzhou Yaxing Motor Coach Co., Ltd.",19990831
600215,-,派斯林,派斯林,"PASLIN DIGITAL TECHNOLOGY CO., LTD.",19990909
600216,-,浙江医药,浙江医药,"Zhejiang Medicine Co.,Ltd.",19991021
600217,-,中再资环,中再资环,"China Resources and Environment Co.,ltd.",19991216
600218,-,全柴动力,全柴动力,"Anhui Quanchai Engine Co.,Ltd",19981203
600219,-,南山铝业,南山铝业,"Shandong Nanshan Aluminium Co., Ltd.",19991223
600220,-,江苏阳光,江苏阳光,"Jiangsu Sunshine Co.,Ltd.",19990927
600221,900945,海航控股,海航控股,"Hainan Airlines Holding Co., Ltd.",19991125
600222,-,太龙药业,太龙药业,"Henan Taloph Pharmaceutical Stock Co.,Ltd",19991105
600223,-,鲁商发展,鲁商发展,"Lushang Health Industry Development Co.,Ltd.",20000113
600225,-,卓朗科技,卓朗科技,"IANJIN TROILA INFORMATION TECHNOLOGY CO.,LTD.",20000127
600226,-,ST瀚叶,ST瀚叶,"Zhejiang Hugeleaf Co.,Ltd.",19991116
600227,-,圣济堂,圣济堂,"Guizhou Salvage Pharmaceutical Co.,Ltd.",20000221
600228,-,返利科技,返利科技,"Fanli Digital Technology Co., Ltd",19990119
600229,-,城市传媒,城市传媒,"Qingdao Citymedia Co,. Ltd.",20000309
600230,-,沧州大化,沧州大化,"Cangzhou Dahua Co.,Ltd",20000406
600231,-,凌钢股份,凌钢股份,"Lingyuan Iron & Steel Co.,Ltd.",20000511
600232,-,金鹰股份,金鹰股份,"Zhejiang Golden Eagle Co.,Ltd.",20000602
600233,-,圆通速递,圆通速递,"YTO Express Group Co.,Ltd.",20000608
600234,-,科新发展,科新发展,"Kexin Development Co.,Ltd,Shanxi",20000615
600235,-,民丰特纸,民丰特纸,"Minfeng Special Paper Co.,Ltd.",20000615
600236,-,桂冠电力,桂冠电力,"Guangxi Guiguan Electric Power Co.,Ltd.",20000323
600237,-,铜峰电子,铜峰电子,Anhui Tongfeng Electronics Company Limited,20000609
600238,-,海南椰岛,海南椰岛,"Hainan Yedao (Group)Co.,Ltd",20000120
600239,-,ST云城,ST云城,"Yunnan Metropolitan Real Estate Development Co.,Ltd.",19991202
600241,-,ST时万,ST时万,"Liaoning Shidai Wanheng Co.,Ltd.",20001128
600242,-,*ST中昌,*ST中昌,Zhongchang Big Data Corporation Limited,20001207
600243,-,青海华鼎,青海华鼎,"Qinghaihuading Industrial Co.,Ltd.",20001120
600246,-,万通发展,万通发展,"Vantone Neo Development Group Co., Ltd",20000922
600248,-,陕西建工,陕西建工,Shaanxi Construction Engineering Group Corporation Limited,20000622
600249,-,两面针,两面针,"Liuzhou Liangmianzhen Co.,Ltd.",20040130
600250,-,南纺股份,南纺股份,"Nanjing Textiles Import & Export Corp.,Ltd.",20010306
600251,-,冠农股份,冠农股份,"XINJIANG GUANNONG CO.,LTD.",20030609
600252,-,中恒集团,中恒集团,"Guangxi Wuzhou Zhongheng Group Co.,Ltd",20001130
600255,-,鑫科材料,鑫科材料,"Anhui Xinke New Materials Co.,Ltd.",20001122
600256,-,广汇能源,广汇能源,"Guanghui Energy Co.,Ltd.",20000526
600257,-,大湖股份,大湖股份,"Dahu Aquaculture Co.,Ltd.",20000612
600258,-,首旅酒店,首旅酒店,"BTG Hotels (Group) Co., Ltd.",20000601
600259,-,广晟有色,广晟有色,"Rising Nonferrous Metals Share Co.,Ltd.",20000525
600261,-,阳光照明,阳光照明,"Zhejiang Yankon Group Co.,Ltd",20000720
600262,-,北方股份,北方股份,"Inner Mongolia North Hauler Joint Stock Co., Ltd",20000630
600265,-,ST景谷,ST景谷,"Yunnan Jinggu Forestry Co.,Ltd",20000825
600266,-,城建发展,城建发展,"Beijing Urban Construction Investment & Development Co.,Ltd.",19990203
600267,-,海正药业,海正药业,"Zhejiang Hisun Pharmaceutical Co.,Ltd.",20000725
600268,-,国电南自,国电南自,"Guodian Nanjing Automation Co.,Ltd",19991118
600269,-,赣粤高速,赣粤高速,"Jiangxi Ganyue Expressway Co., Ltd.",20000518
600271,-,航天信息,航天信息,Aisino Co.Ltd.,20030711
600272,900943,开开实业,开开实业,Shanghai Kai Kai Industrial Company Limited,20010228
600273,-,嘉化能源,嘉化能源,"Zhejiang Jiahua Energy Chemical Industry Co.,Ltd.",20030627
600276,-,恒瑞医药,恒瑞医药,"Jiangsu Hengrui Pharmaceuticals Co.,Ltd",20001018
600277,-,亿利洁能,亿利洁能,Elion Energy Company Limited,20000725
600278,-,东方创业,东方创业,"Orient International Enterprise, Ltd.",20000712
600279,-,重庆港,重庆港,"CHONGQING PORT CO.,LTD.",20000731
600280,-,中央商场,中央商场,"Nanjing Central Emporium (Group) Stocks Co.,Ltd.",20000926
600281,-,华阳新材,华阳新材,"Shanxi Huayang New Material Co.,Ltd.",20001109
600282,-,南钢股份,南钢股份,"Nanjing Iron & Steel Co.,Ltd.",20000919
600283,-,钱江水利,钱江水利,"Qian Jiang Water Resources Development Co.,Ltd",20001018
600284,-,浦东建设,浦东建设,"Shanghai Pudong Construction Co.,Ltd.",20040316
600285,-,羚锐制药,羚锐制药,"Henan Lingrui Pharmaceutical Co., Ltd",20001018
600287,-,江苏舜天,江苏舜天,"Jiangsu Sainty Corp.,Ltd",20000901
600288,-,大恒科技,大恒科技,"Daheng New Epoch Technology, Inc.",20001129
600289,-,ST信通,ST信通,Bright Oceans Inter-Telecom Corporation,20000720
